EmployerName,WageRank,Year,Position,uni_rank,wage_group,uni_group
"University of California, Riverside",210.0,2018,Assoc Prof-Ay-B/E/E,8.0,3.0,4.0
"University of California, San Diego",114.0,2018,Assoc Prof-Ay-B/E/E,3.0,0.0,1.0
"University of California, Santa Barbara",151.5,2018,Assoc Prof-Ay-B/E/E,2.0,1.0,1.0
"University of California, Santa Cruz",222.0,2018,Assoc Prof-Ay-B/E/E,6.0,4.0,3.0
"University of California, Berkeley",104.5,2017,Assoc Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Davis",203.0,2017,Assoc Prof-Ay-B/E/E,5.0,3.0,2.0
"University of California, Irvine",167.0,2017,Assoc Prof-Ay-B/E/E,3.0,2.0,1.0
"University of California, Los Angeles",63.0,2017,Assoc Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Merced",215.5,2017,Assoc Prof-Ay-B/E/E,7.0,4.0,3.0
"University of California, Riverside",195.0,2017,Assoc Prof-Ay-B/E/E,8.0,3.0,4.0
"University of California, San Diego",125.5,2017,Assoc Prof-Ay-B/E/E,4.0,1.0,2.0
"University of California, Santa Barbara",165.5,2017,Assoc Prof-Ay-B/E/E,2.0,1.0,1.0
"University of California, Santa Cruz",181.0,2017,Assoc Prof-Ay-B/E/E,6.0,2.0,3.0
"University of California, Berkeley",109.0,2016,Assoc Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Davis",182.5,2016,Assoc Prof-Ay-B/E/E,5.0,2.0,2.0
"University of California, Irvine",203.0,2016,Assoc Prof-Ay-B/E/E,4.0,3.0,2.0
"University of California, Los Angeles",57.0,2016,Assoc Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Merced",199.0,2016,Assoc Prof-Ay-B/E/E,7.0,3.0,3.0
"University of California, Riverside",229.5,2016,Assoc Prof-Ay-B/E/E,8.0,4.0,4.0
"University of California, San Diego",121.0,2016,Assoc Prof-Ay-B/E/E,3.0,1.0,1.0
"University of California, Santa Barbara",179.0,2016,Assoc Prof-Ay-B/E/E,2.0,1.0,1.0
"University of California, Santa Cruz",180.0,2016,Assoc Prof-Ay-B/E/E,6.0,2.0,3.0
"University of California, Berkeley",121.0,2015,Assoc Prof-Ay-B/E/E,0.0,1.0,0.0
"University of California, Davis",208.0,2015,Assoc Prof-Ay-B/E/E,3.0,2.0,1.0
"University of California, Irvine",209.0,2015,Assoc Prof-Ay-B/E/E,5.0,3.0,2.0
"University of California, Los Angeles",59.0,2015,Assoc Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Merced",196.0,2015,Assoc Prof-Ay-B/E/E,7.0,2.0,3.0
"University of California, Riverside",239.0,2015,Assoc Prof-Ay-B/E/E,8.0,4.0,4.0
"University of California, San Diego",111.0,2015,Assoc Prof-Ay-B/E/E,2.0,0.0,1.0
"University of California, Santa Barbara",171.0,2015,Assoc Prof-Ay-B/E/E,4.0,1.0,2.0
"University of California, Santa Cruz",236.0,2015,Assoc Prof-Ay-B/E/E,6.0,3.0,3.0
"University of California, Berkeley",105.5,2014,Assoc Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Davis",199.5,2014,Assoc Prof-Ay-B/E/E,3.0,3.0,1.0
"University of California, Irvine",216.5,2014,Assoc Prof-Ay-B/E/E,5.0,3.0,2.0
"University of California, Los Angeles",71.0,2014,Assoc Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Merced",180.0,2014,Assoc Prof-Ay-B/E/E,7.0,2.0,3.0
"University of California, Riverside",242.0,2014,Assoc Prof-Ay-B/E/E,8.0,4.0,4.0
